state_abbr,state_name,stations_used,ANN-TAVG-NORMAL,ANN-TAVG-NORMAL_n,ANN-TMIN-NORMAL,ANN-TMIN-NORMAL_n,ANN-TMAX-NORMAL,ANN-TMAX-NORMAL_n,ANN-PRCP-NORMAL,ANN-PRCP-NORMAL_n
AK,Alaska,213,33.8493,150,26.134,150,41.578,150,44.4432,201
AL,Alabama,237,63.8154,104,52.474,104,75.149,104,58.8522,227
AR,Arkansas,229,61.0539,102,50.2706,102,71.8392,102,55.9458,225
AS,American Samoa,1,82.1,1,77.8,1,86.4,1,138.04,1
AZ,Arizona,364,62.1885,131,47.2015,131,77.1748,131,12.6477,347
CA,California,673,60.5508,295,48.0549,295,73.0492,295,22.2142,659
CO,Colorado,717,46.7544,204,31.8201,204,61.6858,204,18.9362,707
CT,Connecticut,63,50.7571,21,41.1048,21,60.3667,21,50.3289,63
DE,Delaware,17,56.9,5,48.0,5,65.76,5,48.9965,17
FL,Florida,357,73.2088,148,63.8182,148,82.5932,148,55.1188,347
GA,Georgia,232,63.7628,94,52.4638,94,75.0755,94,52.6838,221
GU,Guam,2,82.4,1,77.2,1,87.6,1,91.52,2
HI,Hawaii,91,72.4321,28,65.4393,28,79.4357,28,58.1882,88
IA,Iowa,228,48.2566,136,37.7971,136,58.714,136,38.6883,221
ID,Idaho,227,45.9202,109,33.1431,109,58.7009,109,26.7959,218
IL,Illinois,391,52.2029,137,42.1394,137,62.2693,137,43.1494,384
IN,Indiana,259,52.5723,94,42.5532,94,62.5894,94,45.8537,255
KS,Kansas,515,55.0955,154,42.5364,154,67.6636,154,31.4967,511
KY,Kentucky,141,56.611,73,45.7315,73,67.4932,73,53.8309,135
LA,Louisiana,157,67.6286,70,57.5814,70,77.69,70,61.1023,151
MA,Massachusetts,123,49.6197,61,40.0426,61,59.2016,61,49.85,120
MD,Maryland,100,55.7406,32,46.2812,32,65.2031,32,48.4546,96
ME,Maine,95,43.4433,60,33.2217,60,53.6683,60,49.508,94
MI,Michigan,253,45.6872,180,36.0428,180,55.3289,180,36.4702,237
MN,Minnesota,248,42.1684,152,31.9428,152,52.3974,152,31.3549,224
MO,Missouri,399,55.1814,145,44.489,145,65.8779,145,45.7319,389
MP,Northern Mariana Islands,2,82.0,1,77.1,1,86.9,1,80.96,2
MS,Mississippi,156,64.3831,65,53.38,65,75.3923,65,60.7533,146
MT,Montana,377,43.6411,197,30.7411,197,56.5335,197,22.0224,362
NC,North Carolina,376,59.5506,166,48.691,166,70.4036,166,53.3995,364
ND,North Dakota,117,41.1679,84,29.8119,84,52.5286,84,19.7533,107
NE,Nebraska,496,49.6088,147,36.7728,147,62.4374,147,26.7243,485
NH,New Hampshire,78,45.2167,48,34.5354,48,55.9042,48,49.3409,76
NJ,New Jersey,129,54.0594,32,44.4,32,63.7313,32,51.2035,128
NM,New Mexico,377,54.6885,130,38.8792,130,70.4992,130,13.6556,370
NV,Nevada,169,52.0899,89,37.0944,89,67.0753,89,13.8597,162
NY,New York,277,47.7978,137,38.1847,137,57.4,137,44.8332,268
OH,Ohio,232,51.9893,103,41.8845,103,62.0922,103,43.1627,229
OK,Oklahoma,267,60.6444,124,48.4274,124,72.8653,124,36.3635,210
OR,Oregon,396,50.8226,146,39.4404,146,62.2027,146,44.5851,377
PA,Pennsylvania,250,50.4645,138,40.2399,138,60.6783,138,47.563,246
PR,Puerto Rico,43,77.6462,13,69.8308,13,85.4615,13,71.5679,43
RI,Rhode Island,22,51.4,10,42.13,10,60.67,10,50.6032,22
SC,South Carolina,219,63.0859,85,51.8106,85,74.3647,85,50.4148,207
SD,South Dakota,229,45.5386,127,33.6906,127,57.3992,127,23.0275,226
TN,Tennessee,312,58.3703,138,47.2667,138,69.4703,138,57.3004,302
TX,Texas,1040,66.4786,370,54.2462,370,78.7124,370,33.2808,1018
UT,Utah,306,49.5779,136,35.811,136,63.3456,136,20.9945,296
VA,Virginia,207,56.415,107,45.6131,107,67.2103,107,48.047,197
VI,Virgin Islands,8,81.45,2,75.75,2,87.1,2,47.7388,8
VT,Vermont,54,43.8061,33,33.3455,33,54.2667,33,46.4767,49
WA,Washington,328,49.7221,131,39.7046,131,59.7344,131,49.1226,319
WI,Wisconsin,257,44.8624,170,35.1176,170,54.6088,170,36.5717,250
WV,West Virginia,100,52.6605,76,41.6934,76,63.6276,76,48.1701,94
WY,Wyoming,301,43.3258,128,29.4055,128,57.2422,128,19.7832,298
