State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,climate_state_abbr,climate_stations_used,state_ANN-TAVG-NORMAL,state_ANN-TMIN-NORMAL,state_ANN-TMAX-NORMAL,state_ANN-PRCP-NORMAL,em_FIPS,em_EPA_REGION,em_TOTAL_EMISSIONS_TON,em_POLLUTANT_COUNT,em_FACILITY_COUNT,em_TOP_POLLUTANT,em_TOP_POLLUTANT_EMISSIONS_TON,em_TOP_POLLUTANT_SHARE_PCT,em_TOP_FACILITY_TYPE,em_TOP_FACILITY_TYPE_EMISSIONS_TON,em_TOP_FACILITY,em_TOP_FACILITY_EMISSIONS_TON,health_heat_deaths_year,health_heat_related_deaths,health_heat_related_deaths_status,health_air_toxics_year,health_county_total_cancer_risk_per_million,health_county_pollutant_count,health_county_top_pollutant,health_county_top_pollutant_risk_per_million,health_state_mean_county_total_cancer_risk_per_million,health_state_max_county_total_cancer_risk_per_million,health_state_top_county_by_cancer_risk,health_state_top_county_cancer_risk_per_million,health_state_top_pollutant_statewide
Alabama,Baldwin,2020,269,223,46,0,0,0,0,74,54,38,0,0,178,91,0,AL,237,63.8154,52.474,75.149,58.8522,01003,4,1918.048333,63,9,Carbon Monoxide,1140.94752,59.48,Airport,1836.741259,Bay Minette Muni,897.536115,2020,15,reported,2019,25.1,7,Formaldehyde,17.9,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Clay,2020,105,83,22,0,0,0,0,88,56,34,0,0,0,105,0,AL,237,63.8154,52.474,75.149,58.8522,01027,4,1040.11759,50,5,Volatile Organic Compounds,599.709023,57.66,"Woodwork, Furniture, Millwork Manufacturing",822.894224,Wellborn Cabinets Inc,608.069799,2020,15,reported,2019,31.4,7,Formaldehyde,23.2,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,DeKalb,2020,364,332,32,0,0,0,0,91,49,37,0,0,309,55,0,AL,237,63.8154,52.474,75.149,58.8522,01049,4,1244.455706,74,11,Volatile Organic Compounds,307.355776,24.7,Unspecified,1103.608804,Crossville Pellets LLC,606.375678,2020,15,reported,2019,27.3,7,Formaldehyde,19.7,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Elmore,2020,197,197,0,0,0,0,0,47,41,31,0,0,197,0,0,AL,237,63.8154,52.474,75.149,58.8522,01051,4,382.294259,76,4,Carbon Monoxide,139.14004,36.4,Airport,120.707518,Wetumpka Muni,120.707518,2020,15,reported,2019,33.6,7,Formaldehyde,24.8,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Etowah,2020,276,239,37,0,0,0,0,93,53,36,0,0,191,85,0,AL,237,63.8154,52.474,75.149,58.8522,01055,4,336.288524,105,8,Volatile Organic Compounds,134.81855,40.09,Unspecified,147.266228,Fehrer Alabama LLC,140.634417,2020,15,reported,2019,31.2,7,Formaldehyde,22.3,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Jefferson,2020,366,119,244,3,0,0,0,129,70,54,0,0,58,308,0,AL,237,63.8154,52.474,75.149,58.8522,01073,4,33752.767917,122,188,Nitrogen Oxides,11703.231752,34.67,Electricity Generation via Combustion,11949.174555,ALABAMA POWER COMPANY (MILLER POWER PLANT),11949.174555,2020,15,reported,2019,35.1,7,Formaldehyde,25.5,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Lawrence,2020,90,84,6,0,0,0,0,78,48,24,0,0,0,90,0,AL,237,63.8154,52.474,75.149,58.8522,01079,4,143.165626,66,2,Carbon Monoxide,81.631838,57.02,Landfill,92.821372,Morris Farms Landfill,92.821372,2020,15,reported,2019,27.4,7,Formaldehyde,19.5,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Madison,2020,364,210,154,0,0,0,0,89,59,47,0,0,72,288,4,AL,237,63.8154,52.474,75.149,58.8522,01089,4,2127.118874,77,22,Ammonia,660.2164,31.04,Airport,682.97172,ATI Alldyne,645.052,2020,15,reported,2019,28.3,7,Formaldehyde,19.9,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Mobile,2020,348,188,160,0,0,0,0,78,62,49,0,0,84,264,0,AL,237,63.8154,52.474,75.149,58.8522,01097,4,24671.567139,119,53,Nitrogen Oxides,7241.104835,29.35,Electricity Generation via Combustion,6473.236175,Alabama Power Company,6291.766505,2020,15,reported,2019,29.3,7,Formaldehyde,20.8,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Montgomery,2020,361,70,289,2,0,0,0,116,70,58,0,0,18,343,0,AL,237,63.8154,52.474,75.149,58.8522,01101,4,3041.433873,88,13,Volatile Organic Compounds,1091.962824,35.9,Ferroalloy Plant,953.135861,"DC Alabama, Inc.",953.135861,2020,15,reported,2019,34.1,7,Formaldehyde,24.5,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Morgan,2020,355,251,104,0,0,0,0,75,58,41,0,0,96,259,0,AL,237,63.8154,52.474,75.149,58.8522,01103,4,10327.789382,112,21,Carbon Monoxide,3501.006767,33.9,Chemical Plant,4151.805212,Nucor Steel Decatur LLC,3662.924162,2020,15,reported,2019,28.9,7,Formaldehyde,20.1,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Russell,2020,365,236,129,0,0,0,0,99,61,44,0,0,49,316,0,AL,237,63.8154,52.474,75.149,58.8522,01113,4,16607.279595,84,7,Carbon Monoxide,5120.8753,30.84,Pulp and Paper Plant,9936.964232,"WestRock Coated Board, LLC. - Mahrt Mill",9936.964232,2020,15,reported,2019,35.5,7,Formaldehyde,25.9,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Shelby,2020,241,232,9,0,0,0,0,67,46,34,0,0,241,0,0,AL,237,63.8154,52.474,75.149,58.8522,01117,4,27285.963605,100,14,Nitrogen Oxides,8536.788659,31.29,Mineral Processing Plant,17816.273191,"Lhoist North America of Alabama, LLC",16384.650299,2020,15,reported,2019,35.0,7,Formaldehyde,25.7,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Sumter,2020,355,314,41,0,0,0,0,74,51,33,0,0,139,216,0,AL,237,63.8154,52.474,75.149,58.8522,01119,4,1058.416517,32,3,Nitrogen Oxides,760.4054,71.84,Unspecified,992.874764,"Arcosa LW BR, LLC",992.858764,2020,15,reported,2019,33.8,7,Formaldehyde,25.3,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alabama,Tuscaloosa,2020,278,247,31,0,0,0,0,97,52,34,0,0,186,92,0,AL,237,63.8154,52.474,75.149,58.8522,01125,4,4301.806367,112,16,Volatile Organic Compounds,1702.002046,39.56,Petroleum Refinery,1188.860684,Hunt Refining Company,1188.860684,2020,15,reported,2019,36.6,7,Formaldehyde,26.8,31.1582,36.6,Tuscaloosa,36.6,Formaldehyde
Alaska,Aleutians East,2020,121,121,0,0,0,0,0,41,29,11,0,0,0,121,0,AK,213,33.8493,26.134,41.578,44.4432,02013,10,951.314015,57,15,Nitrogen Oxides,424.570989,44.63,Food Products Processing Plant,441.507738,Akutan Seafood Processing Facility,441.507738,2020,,suppressed,2019,5.2,7,Formaldehyde,2.5,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Anchorage,2020,366,294,72,0,0,0,0,92,55,27,6,0,0,267,93,AK,213,33.8493,26.134,41.578,44.4432,,,,,,,,,,,,,2020,,suppressed,2019,,,,,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Bethel,2020,167,165,2,0,0,0,0,56,24,7,0,0,0,30,137,AK,213,33.8493,26.134,41.578,44.4432,02050,10,1494.723083,45,40,Nitrogen Oxides,721.134004,48.25,Electricity Generation via Combustion,775.225828,Bethel Power Plant,775.225828,2020,,suppressed,2019,6.4,7,Formaldehyde,3.1,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Denali,2020,358,356,2,0,0,0,0,54,42,33,0,0,353,5,0,AK,213,33.8493,26.134,41.578,44.4432,02068,10,1962.064403,55,8,Carbon Monoxide,1177.237853,60.0,Electricity Generation via Combustion,1941.643126,Healy Power Plant,1941.643126,2020,,suppressed,2019,7.5,7,Formaldehyde,4.0,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Fairbanks North Star,2020,366,231,98,17,20,0,0,177,106,39,0,0,76,287,3,AK,213,33.8493,26.134,41.578,44.4432,02090,10,9301.152734,83,23,Nitrogen Oxides,4474.446143,48.11,Electricity Generation via Combustion,6249.401691,Fort Wainwright (Privatized Emission Units),2694.647399,2020,,suppressed,2019,22.6,7,Formaldehyde,12.4,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Juneau,2020,361,320,40,1,0,0,0,101,52,19,0,0,0,336,25,AK,213,33.8493,26.134,41.578,44.4432,,,,,,,,,,,,,2020,,suppressed,2019,,,,,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Kenai Peninsula,2020,122,120,2,0,0,0,0,53,19,10,0,0,0,122,0,AK,213,33.8493,26.134,41.578,44.4432,02122,10,9076.613848,86,62,Nitrogen Oxides,4868.124629,53.63,Oil or Gas Facility (On-shore),3408.025564,Swanson River Field,2414.072739,2020,,suppressed,2019,14.3,7,Formaldehyde,8.5,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,Matanuska-Susitna,2020,359,317,41,1,0,0,0,103,53,17,0,0,0,303,56,AK,213,33.8493,26.134,41.578,44.4432,02170,10,715.546603,50,44,Carbon Monoxide,466.097826,65.14,Airport,534.13825,Liquefied Natural Gas Plant #1,181.408353,2020,,suppressed,2019,16.3,7,Formaldehyde,9.3,9.9931,38.8,Anchorage,38.8,Formaldehyde
Alaska,North Slope,2020,112,111,1,0,0,0,0,54,16,6,0,0,0,112,0,AK,213,33.8493,26.134,41.578,44.4432,02185,10,48006.357349,58,58,Nitrogen Oxides,34918.798001,72.74,Oil or Gas Facility (On-shore),23735.486736,Central Compressor Plant (CCP),9799.371128,2020,,suppressed,2019,6.4,7,Formaldehyde,2.9,9.9931,38.8,Anchorage,38.8,Formaldehyde
Arizona,Apache,2020,364,356,8,0,0,0,0,63,30,14,0,0,0,53,311,AZ,364,62.1885,47.2015,77.1748,12.6477,04001,9,22828.304754,85,6,Nitrogen Oxides,7855.633829,34.41,Electricity Generation via Combustion,22738.890585,TUCSON ELECTRIC POWER CO - SPRINGERVILLE,16063.470588,2020,373,reported,2019,10.2,7,Formaldehyde,6.5,17.2267,30.3,Maricopa,30.3,Formaldehyde
Arizona,Cochise,2020,366,271,93,2,0,0,0,108,61,45,0,0,301,4,61,AZ,364,62.1885,47.2015,77.1748,12.6477,04003,9,7901.600092,87,17,Nitrogen Oxides,2756.503939,34.89,Electricity Generation via Combustion,3002.151689,AEPCO - APACHE GENERATING STATION,3001.670554,2020,373,reported,2019,14.3,7,Formaldehyde,9.8,17.2267,30.3,Maricopa,30.3,Formaldehyde
Arizona,Coconino,2020,366,302,64,0,0,0,0,93,58,44,0,0,345,21,0,AZ,364,62.1885,47.2015,77.1748,12.6477,04005,9,1535.775278,67,13,Nitrogen Oxides,955.252895,62.2,Compressor Station,1123.106241,EPNG - WILLIAMS COMPRESSOR STATION,862.824649,2020,373,reported,2019,12.2,7,Formaldehyde,7.9,17.2267,30.3,Maricopa,30.3,Formaldehyde
Arizona,Gila,2020,366,256,99,8,3,0,0,174,74,44,0,0,338,1,27,AZ,364,62.1885,47.2015,77.1748,12.6477,04007,9,2574.802918,56,5,PM10 Primary (Filt + Cond),476.717295,18.51,Primary Copper Smelting/Refining Plant,2456.965652,FREEPORT MCMORAN MIAMI SMELTER,2436.742413,2020,373,reported,2019,15.1,7,Formaldehyde,10.2,17.2267,30.3,Maricopa,30.3,Formaldehyde
Arizona,La Paz,2020,366,292,72,2,0,0,0,125,58,44,0,0,350,9,7,AZ,364,62.1885,47.2015,77.1748,12.6477,04012,9,377.902948,68,5,Nitrogen Oxides,277.070843,73.32,Compressor Station,291.339608,EPNG - WENDEN COMPRESSOR STATION,212.947698,2020,373,reported,2019,19.1,7,Formaldehyde,13.7,17.2267,30.3,Maricopa,30.3,Formaldehyde
